Price,Bedroom2,Landsize,BuildingArea,Lattitude,Longtitude
1525000,5,729,268.0,-37.8721,144.8105
720000,2,292,125.0,-37.8687,144.8197
1120000,3,506,120.0,-37.8693,144.8375
780000,4,655,,-37.868,144.8154
1780000,4,1057,220.0,-37.8681,144.819
630000,2,311,94.0,-37.8702,144.8143
406000,2,65,,-37.8693,144.8171
660000,3,602,123.0,-37.8616,144.8116
683500,3,530,,-37.8594,144.817
580000,2,225,93.0,-37.8696,144.827
1335000,3,777,22.0,-37.8697,144.8249
800000,3,280,,-37.8734,144.8143
510000,2,127,76.0,-37.8686,144.8182
1070000,4,695,,-37.8733,144.8147
425000,2,115,57.0,-37.871,144.8185
605000,3,230,,-37.8646,144.827
705000,3,197,152.0,-37.8579,144.8181
391000,2,0,65.0,-37.8678,144.8384
440000,2,0,,-37.8659,144.831
845000,4,745,130.0,-37.8658,144.8155
743000,3,211,176.0,-37.8698,144.816
730000,3,69,141.0,-37.868,144.8286
635000,3,625,,-37.8611,144.8114
620000,2,168,,-37.8676,144.8202
447000,2,137,77.0,-37.8655,144.8299
730000,3,70,,-37.868,144.8287
678000,3,606,87.0,-37.8608,144.8124
580000,2,175,76.0,-37.8687,144.8268
712000,3,363,,-37.8674,144.8375
840000,3,534,136.0,-37.86,144.8245
980000,3,724,,-37.8672,144.817
605100,3,265,,-37.8583,144.8172
880000,3,577,,-37.8699,144.8235
577000,3,205,113.0,-37.8684,144.815
1030000,4,797,,-37.8663,144.8387
605000,3,181,,-37.8659,144.822
753000,3,529,,-37.8612,144.8247
857000,2,675,100.0,-37.8653,144.8129
1500000,3,929,,-37.8651,144.832
730000,3,70,3.0,-37.868,144.8285
900000,3,697,,-37.871,144.8075
740000,3,604,,-37.8631,144.8195
931000,4,532,,-37.8637,144.8365
535600,2,154,91.0,-37.8646,144.8272
1085000,5,592,251.0,-37.8388,144.8567
781000,3,533,117.0,-37.8291,144.835
750000,3,554,,-37.8449,144.85
421000,2,77,77.0,-37.8351,144.8529
1405000,3,655,,-37.8338,144.8562
683000,3,534,167.0,-37.8284,144.8355
623000,3,540,,-37.8267,144.8368
720000,3,0,130.0,-37.8379,144.8583
588000,3,328,118.0,-37.838,144.8555
710000,3,540,116.0,-37.8294,144.8378
875000,3,559,169.0,-37.8448,144.8529
700000,3,554,,-37.8449,144.85
640000,2,252,,-37.8397,144.8602
650000,4,558,,-37.8451,144.8529
675000,3,171,109.0,-37.8337,144.8554
708000,3,585,97.0,-37.8258,144.8523
965000,4,851,,-37.8345,144.8444
680000,3,551,,-37.8254,144.8514
770000,3,602,603.0,-37.8327,144.8451
923000,3,740,,-37.8269,144.8455
693000,4,315,170.0,-37.8391,144.8467
620000,5,276,100.0,-37.8262,144.8443
728500,3,531,157.0,-37.8277,144.8385
931000,3,590,160.0,-37.8382,144.8649
988000,3,715,,-37.8423,144.8632
590000,3,561,,-37.8444,144.8491
610000,2,691,,-37.834,144.8553
815000,3,555,130.0,-37.8318,144.8388
970000,4,708,,-37.833,144.8494
760000,4,668,,-37.8262,144.8439
847500,4,252,,-37.8393,144.8568
1200000,4,633,158.0,-37.8375,144.8541
700000,3,557,,-37.8441,144.8505
625000,3,536,,-37.8285,144.8351
292000,2,153,70.0,-37.8332,144.8649
599000,2,0,76.0,-37.8543,145.0262
550000,2,861,,-37.8539,145.0284
995000,3,0,100.0,-37.8552,145.016
1205000,3,101,105.0,-37.854,145.0135
1939000,3,296,150.0,-37.8614,145.0274
421500,1,0,,-37.853,145.0167
1870000,3,217,116.0,-37.8592,145.0182
678000,2,0,,-37.8538,145.0127
1918000,3,0,165.0,-37.8537,145.0267
660000,2,0,,-37.8619,145.0257
2050000,3,205,116.0,-37.8574,145.0281
700000,2,0,,-37.8552,145.016
3625000,3,0,,-37.8555,145.0291
3000000,4,1581,,-37.858,145.0111
1525000,8,693,,-37.8638,145.0229
735000,3,2113,14.0,-37.8543,145.0262
825000,2,0,,-37.8528,145.0268
1586000,2,246,,-37.8566,145.0116
645000,3,0,,-37.8596,145.0198
1435000,2,144,107.0,-37.8564,145.0228
280000,1,0,38.0,-37.8619,145.0185
400000,1,0,,-37.8605,145.0185
1780000,2,0,,-37.8537,145.0267
592500,2,0,73.0,-37.8574,145.0174
1210000,2,249,96.0,-37.8543,145.016
2801000,4,624,222.0,-37.8536,145.0173
390000,1,881,,-37.8614,145.0222
1800000,3,405,121.0,-37.8545,145.0145
2200000,4,495,163.0,-37.8613,145.0264
324000,1,0,,-37.8537,145.0114
5525000,5,1491,516.0,-37.8602,145.013
1125000,3,169,,-37.851,145.0161
2250000,3,301,,-37.8511,145.0167
2360000,3,336,,-37.8558,145.015
1900000,2,207,,-37.8571,145.0224
440000,1,0,53.0,-37.8531,145.0115
490000,2,0,,-37.8646,145.0247
2365000,3,316,,-37.8521,145.019
1300000,2,212,106.0,-37.8542,145.0149
732000,3,0,,-37.8597,145.0104
704000,2,0,74.0,-37.8573,145.0186
620000,3,0,98.0,-37.8596,145.0198
1900000,3,328,108.0,-37.8559,145.0158
315000,1,0,,-37.8575,145.0174
450000,1,0,,-37.8509,145.0203
710000,2,2471,80.0,-37.8573,145.0186
872000,2,1194,,-37.8604,145.0147
598000,2,0,88.0,-37.8593,145.0156
1285000,3,186,80.0,-37.8554,145.0173
3660000,4,421,,-37.8593,145.0275
520000,1,0,76.0,-37.8618,145.0183
3625000,4,709,251.0,-37.8574,145.016
4200000,4,563,333.0,-37.8582,145.0138
1101000,3,103,3.0,-37.8542,145.0135
3512500,3,617,285.0,-37.8557,145.0264
2000000,4,544,,-37.8611,145.0195
869000,2,0,91.0,-37.853,145.0264
2810000,5,617,,-37.8611,145.0271
565000,3,0,,-37.8573,145.0112
567000,1,0,53.0,-37.8549,145.0113
546000,2,0,,-37.8568,145.0161
471500,2,0,,-37.8503,145.0185
455000,3,0,,-37.7756,144.9165
940000,3,298,108.0,-37.7777,144.9195
467000,2,0,62.0,-37.7761,144.9201
1380000,3,277,174.0,-37.7777,144.9221
490000,2,423,62.0,-37.7736,144.9015
1850000,4,478,270.0,-37.7729,144.9179
1284000,3,623,,-37.7758,144.9089
971000,3,285,128.0,-37.775,144.9091
710000,2,214,77.0,-37.7776,144.9142
2425000,6,1014,435.0,-37.7721,144.9184
750000,2,226,92.0,-37.7745,144.9093
1053000,2,269,109.0,-37.7748,144.929
1377000,3,417,168.0,-37.7756,144.9208
970000,3,350,125.0,-37.7759,144.91
940000,2,330,,-37.773,144.9049
751000,2,118,79.0,-37.7807,144.9288
950000,2,173,102.0,-37.7731,144.9206
685000,2,228,90.0,-37.7718,144.9066
1230000,4,594,148.0,-37.7819,144.9064
636500,2,0,,-37.7738,144.9345
910000,3,317,,-37.7746,144.9112
770000,2,226,87.0,-37.7774,144.9186
960000,3,229,,-37.7778,144.9065
890000,4,300,185.0,-37.7766,144.9143
965000,2,170,,-37.7732,144.9206
1440000,3,487,131.0,-37.7725,144.9146
955000,2,255,,-37.7825,144.9208
450000,2,0,,-37.7731,144.9074
801000,3,431,,-37.781,144.9207
1000000,3,440,120.0,-37.7746,144.9031
1435000,3,532,147.0,-37.7737,144.904
390000,1,0,58.0,-37.7723,144.9094
1425000,3,495,139.0,-37.7821,144.9055
1340000,3,683,232.0,-37.775,144.932
955000,3,263,117.0,-37.7753,144.9116
1100000,4,559,195.0,-37.7791,144.9136
1255000,3,308,,-37.7759,144.9338
432000,2,0,62.0,-37.773,144.9303
1640000,4,562,204.0,-37.782,144.903
1430000,4,461,286.0,-37.78,144.9295
610000,2,301,104.0,-37.7791,144.914
940000,3,491,127.0,-37.7727,144.9136
890000,3,242,110.0,-37.7765,144.9114
1180000,3,617,149.0,-37.7742,144.906
1480000,4,597,180.0,-37.7757,144.9088
1150000,2,387,,-37.7734,144.9191
1350000,3,575,,-37.7828,144.9049
1905000,5,521,,-37.7778,144.9261
865000,2,146,132.0,-37.7713,144.9038
705000,2,113,,-37.7712,144.9088
442000,2,0,62.0,-37.7733,144.9219
540000,2,0,,-37.7786,144.9141
1037500,3,506,110.0,-37.7779,144.9133
1050000,3,318,160.0,-37.7744,144.9035
440000,2,0,65.0,-37.7749,144.9137
1010000,2,325,,-37.7722,144.9117
1430000,4,418,158.0,-37.7766,144.9187
570000,2,0,,-37.7779,144.9137
690000,2,0,,-37.7728,144.9169
1291000,3,414,,-37.7766,144.9185
1130000,3,272,157.0,-37.7774,144.928
1135000,3,296,104.0,-37.777,144.9176
950000,4,298,147.0,-37.7778,144.9131
790000,3,0,148.0,-37.7722,144.9163
390000,2,1957,69.0,-37.7731,144.9074
1345000,4,552,155.0,-37.7769,144.9138
1381500,3,416,168.0,-37.7727,144.9055
940000,3,285,172.0,-37.7778,144.9061
995000,3,314,177.0,-37.7778,144.9042
1050000,3,536,,-37.7728,144.9076
786000,3,576,120.0,-37.7816,144.9217
705000,2,252,108.0,-37.7825,144.9206
760000,2,124,77.0,-37.7807,144.9285
487500,3,0,,-37.7723,144.9094
1000000,3,200,144.0,-37.7766,144.9277
1110000,4,349,,-37.7775,144.913
1300000,4,664,,-37.7765,144.9132
1060000,3,555,,-37.7767,144.9125
1410000,3,459,,-37.7767,144.9124
1305000,2,278,166.0,-37.7768,144.9223
932500,3,254,,-37.7738,144.9215
965000,3,216,,-37.7792,144.9297
1215000,3,452,175.0,-37.7762,144.9174
545000,2,194,71.0,-37.7772,144.9118
1705000,4,598,273.0,-37.7774,144.9104
970000,2,194,,-37.7756,144.921
925000,2,407,,-37.7756,144.9105
2650000,4,753,399.0,-37.8669,145.0767
1670000,3,599,220.0,-37.8673,145.0688
955000,3,203,,-37.8655,145.0807
2050000,3,310,315.0,-37.874,145.0714
500000,2,710,,-37.8636,145.0794
1575000,2,679,,-37.869,145.0822
1555000,3,731,149.0,-37.8666,145.0676
1100000,3,276,178.0,-37.8699,145.0778
1337000,3,583,112.0,-37.8685,145.0786
2950000,9,1472,618.0,-37.8729,145.0788
2215000,4,681,,-37.8612,145.0858
1518000,3,516,145.0,-37.8675,145.0668
1710000,3,806,101.0,-37.8695,145.084
1655000,3,780,152.0,-37.8599,145.0815
1550000,4,780,180.0,-37.86,145.0817
1662000,3,351,228.0,-37.8742,145.07
1665000,3,702,145.0,-37.8737,145.0695
1445000,2,704,,-37.8745,145.0738
3510000,5,755,444.0,-37.8598,145.0796
968000,3,227,,-37.8709,145.0857
900000,3,153,110.0,-37.8655,145.0808
1500000,3,545,,-37.8605,145.0833
2752000,6,1075,390.0,-37.8714,145.073
1500000,3,710,139.0,-37.8653,145.0897
1800000,4,749,206.0,-37.8669,145.077
1830000,3,724,168.0,-37.8619,145.0879
1415000,3,605,111.0,-37.8703,145.0774
1440000,2,687,104.0,-37.872,145.0692
1250000,4,321,199.0,-37.8693,145.08
1422000,3,583,,-37.8679,145.0781
1600000,5,700,266.0,-37.8724,145.0758
1860000,4,696,274.0,-37.8711,145.0746
1710000,3,295,,-37.8624,145.0798
1790000,4,514,240.0,-37.8664,145.0772
1950000,4,844,278.0,-37.8715,145.0688
1600000,3,637,,-37.8645,145.0797
1320000,3,1063,,-37.8752,145.0754
1650000,3,697,164.0,-37.8636,145.0903
995000,2,583,,-37.8693,145.1082
1250000,3,842,,-37.867,145.1092
1045000,3,467,,-37.8639,145.0968
1200000,4,372,201.0,-37.8716,145.0999
1075000,2,695,114.0,-37.8694,145.0944
1500000,2,621,203.0,-37.8647,145.1023
1120000,3,723,,-37.8642,145.1109
700000,2,367,110.0,-37.8662,145.109
761000,3,400,94.0,-37.8675,145.106
1270000,4,724,,-37.8651,145.1109
1510000,4,526,,-37.8661,145.1013
1365000,3,792,792.0,-37.864,145.0972
1100000,3,803,152.0,-37.8621,145.1126
1415000,4,724,,-37.8651,145.1107
690000,2,216,90.0,-37.8711,145.1017
1631000,3,782,215.0,-37.8621,145.1021
1500000,4,593,255.0,-37.8655,145.096
1060000,2,772,,-37.8707,145.1036
1529500,5,585,317.0,-37.8637,145.1024
600000,2,153,80.0,-37.8696,145.0962
535000,2,72,,-37.8702,145.1042
785000,3,557,,-37.8671,145.1117
1240000,4,766,192.0,-37.8629,145.1097
700000,2,192,88.0,-37.8709,145.102
1350000,4,727,,-37.8669,145.1106
1110000,2,586,86.0,-37.8683,145.1082
1305000,3,760,120.0,-37.858,145.1038
855000,3,320,85.0,-37.87,145.1103
900500,3,256,134.0,-37.8655,145.1096
1200000,3,839,198.0,-37.8614,145.1098
830000,2,212,130.0,-37.8723,145.1089
850000,3,593,118.0,-37.7677,144.8674
750000,3,0,103.0,-37.7634,144.8611
851000,3,557,181.0,-37.77,144.8572
848000,3,542,,-37.7706,144.8629
806000,4,350,,-37.7676,144.859
1155000,3,569,225.0,-37.7654,144.8655
670000,3,671,,-37.7593,144.871
1200000,4,673,,-37.7545,144.8736
636000,2,571,,-37.7605,144.8581
680000,3,570,120.0,-37.7591,144.8542
1160000,4,789,,-37.7537,144.8729
750000,3,529,,-37.7721,144.8576
627500,3,550,143.0,-37.7632,144.8622
880000,3,339,,-37.7519,144.8534
950000,4,761,281.0,-37.7524,144.8714
1600000,4,1801,,-37.7532,144.8766
585000,2,136,,-37.7623,144.8613
650000,3,574,,-37.7627,144.857
725000,3,606,,-37.752,144.854
665000,3,289,,-37.7644,144.8657
560500,3,177,,-37.7664,144.8583
615000,3,649,,-37.758,144.86
845000,3,704,,-37.7681,144.8592
585000,3,322,,-37.7686,144.8576
440000,2,263,,-37.7697,144.8657
850000,3,766,149.0,-37.7522,144.8518
850000,5,574,,-37.7639,144.8615
705000,3,581,106.0,-37.7691,144.8575
1100000,4,873,395.0,-37.7609,144.8639
892500,3,586,118.0,-37.7642,144.8603
695000,3,588,,-37.771,144.8586
522500,2,220,101.0,-37.756,144.8641
680000,4,554,140.0,-37.7649,144.8633
500000,3,260,,-37.7507,144.8576
550000,2,158,,-37.7592,144.8681
730000,3,705,,-37.766,144.8596
875000,3,812,117.0,-37.765,144.8578
850000,3,585,,-37.751,144.8571
635000,3,597,,-37.7568,144.8572
762000,4,589,150.0,-37.7573,144.8534
411000,2,0,85.0,-37.7608,144.863
790000,4,570,,-37.7513,144.859
605000,4,569,,-37.7563,144.8601
805000,3,593,103.0,-37.7607,144.8581
890000,4,585,,-37.757,144.8566
795000,3,549,,-37.7644,144.8575
634000,4,582,153.0,-37.7584,144.8568
642000,3,590,,-37.7567,144.8572
863000,3,638,,-37.7546,144.8585
740000,3,607,,-37.7546,144.857
1819000,3,244,180.0,-37.8668,144.9928
410000,2,0,61.0,-37.8731,144.9958
280000,1,0,,-37.8733,144.997
1015000,2,114,120.0,-37.8723,144.9961
502500,2,0,65.0,-37.8725,144.9952
520000,2,0,58.0,-37.8742,144.9972
442000,2,0,61.0,-37.8726,144.9962
1193000,3,178,100.0,-37.8663,144.9948
416000,2,0,49.0,-37.8678,144.9966
820000,2,0,,-37.8691,144.9974
474000,2,0,59.0,-37.8667,144.9917
981000,2,159,84.0,-37.874,144.9933
1690000,3,339,159.0,-37.872,144.9909
540000,2,483,51.0,-37.8727,144.9969
1080000,3,157,,-37.8696,144.9925
500000,1,0,,-37.873,144.9907
497500,2,0,,-37.8739,144.9929
2100000,2,659,123.0,-37.8094,145.0807
1800000,4,715,218.0,-37.811,145.0958
1255000,2,208,129.0,-37.8128,145.0975
1070000,3,206,112.0,-37.8161,145.0812
2570000,5,715,420.0,-37.8028,145.0768
2400000,4,744,226.0,-37.8147,145.0748
2200000,3,651,266.0,-37.8085,145.0764
3250000,5,651,410.0,-37.8071,145.0908
806000,2,122,97.0,-37.8124,145.0916
4000000,6,2051,449.0,-37.8051,145.1016
1215000,2,0,,-37.8134,145.0972
2250000,5,600,356.0,-37.8061,145.0801
812000,2,206,,-37.8092,145.0778
1140000,3,175,,-37.8162,145.0771
2330000,3,853,,-37.807,145.0635
2800000,5,678,349.0,-37.8048,145.0708
605000,2,0,,-37.8152,145.0843
1255000,3,308,,-37.8056,145.0788
1850000,3,1015,166.0,-37.8074,145.0826
805000,3,209,,-37.8125,145.0901
700000,3,188,110.0,-37.8065,145.065
2130000,4,664,,-37.8055,145.0699
500000,2,0,72.0,-37.8162,145.0841
2125000,3,699,252.0,-37.814,145.0966
1800000,3,577,200.0,-37.8032,145.0693
635000,2,0,70.0,-37.8116,145.0724
526000,2,0,73.0,-37.8144,145.0993
390000,1,740,,-37.8125,145.0775
905000,3,281,150.0,-37.8013,145.0652
1750000,4,453,308.0,-37.8044,145.1006
760000,2,121,100.0,-37.8112,145.0881
3180000,4,1148,,-37.8088,145.0991
1367000,3,219,164.0,-37.8125,145.0849
3600000,5,678,,-37.8063,145.0705
2550000,5,642,,-37.8096,145.0735
1400000,4,241,240.0,-37.8042,145.1042
3270000,4,935,241.0,-37.8157,145.0795
625000,2,115,104.0,-37.8122,145.0879
700000,2,104,,-37.8061,145.0878
1860000,3,671,465.0,-37.8117,145.0775
2730000,4,674,336.0,-37.8068,145.0786
2020000,5,611,,-37.8116,145.0789
460000,2,0,79.0,-37.8152,145.0839
2250000,3,832,,-37.8068,145.0827
1053000,2,231,98.0,-37.8123,145.0821
1800000,3,380,,-37.8161,145.0772
1472000,3,306,170.0,-37.8106,145.0848
2120000,3,651,,-37.8036,145.0715
1910000,3,697,,-37.8044,145.0853
754000,2,87,88.0,-37.8134,145.081
3000000,5,671,,-37.8025,145.0665
3400000,5,739,502.0,-37.8039,145.0714
2188000,4,752,253.0,-37.8149,145.0747
755000,2,213,92.0,-37.8092,145.0789
2900000,4,596,,-37.815,145.076
3290000,4,1007,350.0,-37.8135,145.0995
2665000,4,674,,-37.8095,145.0782
1801000,4,583,,-37.8027,145.0694
2410000,4,685,207.0,-37.8056,145.071
650000,2,0,150.0,-37.8147,145.084
2275000,4,842,,-37.8054,145.0771
2810000,5,1468,,-37.8131,145.1
1385000,3,190,,-37.8164,145.0846
2000000,3,739,291.0,-37.8039,145.0631
1900000,4,665,155.0,-37.8057,145.0825
3401000,3,706,166.0,-37.8161,145.0748
1750000,3,613,193.0,-37.8056,145.0688
4000000,5,1437,,-37.8058,145.0882
1100000,3,259,,-37.8161,145.0809
3020000,5,715,420.0,-37.8028,145.0768
2950000,4,650,,-37.8167,145.0797
2450000,4,981,260.0,-37.8058,145.0627
1912000,2,844,,-37.8037,145.0636
730000,2,130,80.0,-37.812,145.0876
3900000,5,0,,-37.8049,145.0748
1500000,3,404,190.0,-37.8075,145.1011
1850000,3,607,,-37.8058,145.0781
1700000,3,672,115.0,-37.8099,145.0792
1010000,2,1611,,-37.8092,145.1016
1315000,3,260,167.0,-37.7966,145.1021
1500000,3,778,154.0,-37.7939,145.0789
3230000,4,1135,275.0,-37.8014,145.0892
1080000,2,253,,-37.7912,145.085
1350000,7,942,,-37.7923,145.1029
1905000,4,647,185.0,-37.7917,145.0868
3300000,5,760,477.0,-37.7907,145.0907
1900000,4,642,215.0,-37.7988,145.0726
2251000,3,888,137.0,-37.8002,145.0949
2205000,4,750,214.0,-37.7906,145.0788
1265000,3,347,160.0,-37.7947,145.1035
2000000,3,772,,-37.7938,145.0732
1750000,4,673,185.0,-37.7856,145.0918
1450000,3,665,124.0,-37.7862,145.0781
2614000,4,772,150.0,-37.7959,145.0787
1825000,4,736,225.0,-37.7944,145.1028
2550000,4,847,,-37.7954,145.0838
1570000,4,546,,-37.7863,145.0905
3250000,3,886,520.0,-37.804,145.0951
1750000,4,667,,-37.7898,145.079
1150000,3,207,144.0,-37.7893,145.092
1575000,3,645,,-37.7851,145.0957
1505000,4,724,,-37.8021,145.0985
1572000,4,662,330.0,-37.798,145.1007
1500000,3,610,,-37.784,145.0878
1400000,4,283,,-37.7982,145.0688
1750000,5,705,365.0,-37.7851,145.0775
1850000,4,619,254.0,-37.8025,145.0843
1480000,3,992,,-37.7977,145.1037
1400000,4,714,,-37.8007,145.1002
2130000,4,1274,275.0,-37.7822,145.0907
1050000,3,244,,-37.7933,145.0672
3690000,4,624,154.0,-37.802,145.0797
1740000,4,610,275.0,-37.7843,145.0891
2575000,4,657,355.0,-37.7981,145.0904
1388800,3,517,247.0,-37.783,145.0926
1702000,4,715,,-37.7943,145.083
1800000,4,587,165.0,-37.7841,145.0953
2910000,4,1070,247.0,-37.7975,145.0716
1400000,2,694,,-37.7941,145.1042
860000,2,204,,-37.8008,145.104
1670000,4,689,,-37.7871,145.0843
1500000,3,800,,-37.8023,145.0976
2200000,5,900,355.0,-37.7868,145.0677
1350000,4,815,,-37.794,145.1019
2070000,5,1138,,-37.7928,145.1006
1300000,3,464,,-37.7945,145.0667
1700000,3,763,168.0,-37.7935,145.0865
1750000,2,854,,-37.7971,145.0672
980000,3,542,,-37.7832,145.0779
1230000,3,310,188.0,-37.7949,145.1014
2600000,5,637,529.0,-37.7898,145.0967
1950000,3,665,232.0,-37.7889,145.0904
1750000,5,710,170.0,-37.7907,145.0916
2000000,5,1002,244.0,-37.796,145.0984
1480000,3,605,116.0,-37.7951,145.0696
3000000,4,1247,50.0,-37.7964,145.086
1818000,3,722,90.0,-37.7956,145.0829
2170000,4,1040,,-37.7992,145.0907
2525000,4,1235,196.0,-37.7988,145.089
3360000,4,904,420.0,-37.797,145.086
1620000,4,654,,-37.7885,145.0854
1903000,3,713,720.0,-37.7982,145.0816
1712000,3,639,,-37.7879,145.0929
1720000,4,869,170.0,-37.8002,145.0999
1670000,4,1042,,-37.7908,145.101
1350000,2,467,,-37.7945,145.067
1675000,4,667,201.0,-37.7835,145.0883
1680000,4,362,200.0,-37.7987,145.0788
1800000,3,809,,-37.7976,145.0684
1550000,4,707,,-37.8005,145.0986
4000000,5,1364,518.0,-37.7961,145.0859
2900000,4,917,,-37.7968,145.0873
2205000,4,1010,250.0,-37.7982,145.0903
1137000,3,349,,-37.7955,145.0694
